Session_ID,id,Round,SumPayoff,ChoiceSelf,ExperienceSelf,Payoff,Optimal,PayoffBetter,Hard,MouseTracking
27bsrtna,qdczif8y,53,1442,1,3,13,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""86""  ""mouseout"",""PayoffSelf"","""",""140""  ""mouseover"",""PayoffSelf"",""info"",""1208""  ""mouseout"",""PayoffSelf"","""",""1608"""
27bsrtna,qdczif8y,54,1442,1,4,17,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""359""  ""mouseout"",""PayoffSelf"","""",""908"""
27bsrtna,qdczif8y,55,1442,1,5,18,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""36""  ""mouseout"",""PayoffSelf"","""",""586"""
27bsrtna,qdczif8y,56,1442,1,6,18,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""13""  ""mouseover"",""PayoffSelf"",""info"",""160""  ""mouseout"",""PayoffSelf"","""",""725"""
27bsrtna,qdczif8y,57,1442,1,7,19,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""290""  ""mouseout"",""PayoffSelf"","""",""316"""
27bsrtna,qdczif8y,58,1442,1,8,16,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19"""
27bsrtna,qdczif8y,59,1442,1,9,16,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19""  ""mouseover"",""PayoffSelf"",""info"",""316""  ""mouseout"",""PayoffSelf"","""",""353"""
27bsrtna,qdczif8y,60,1442,1,10,13,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19""  ""mouseover"",""PayoffSelf"",""info"",""49""  ""mouseout"",""PayoffSelf"","""",""369"""
27bsrtna,qdczif8y,61,1442,2,11,16,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""316""  ""mouseout"",""PayoffSelf"","""",""749"""
27bsrtna,qdczif8y,62,1442,3,12,17,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""543""  ""mouseout"",""PayoffSelf"","""",""587""  ""mouseover"",""PayoffSelf"",""info"",""1690""  ""mouseout"",""PayoffSelf"","""",""1972"""
27bsrtna,qdczif8y,63,1442,3,13,18,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""274""  ""mouseout"",""PayoffSelf"","""",""783"""
27bsrtna,qdczif8y,64,1442,3,14,17,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""122""  ""mouseout"",""PayoffSelf"","""",""501"""
27bsrtna,qdczif8y,65,1442,3,15,22,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""18""  ""mouseover"",""PayoffSelf"",""info"",""37""  ""mouseout"",""PayoffSelf"","""",""655"""
27bsrtna,qdczif8y,66,1442,3,16,17,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""23"""
27bsrtna,qdczif8y,67,1442,3,17,13,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""22""  ""mouseover"",""PayoffSelf"",""info"",""333""  ""mouseout"",""PayoffSelf"","""",""816"""
27bsrtna,qdczif8y,68,1442,3,18,23,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""102""  ""mouseout"",""PayoffSelf"","""",""149"""
27bsrtna,qdczif8y,69,1442,3,19,21,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""16""  ""mouseover"",""PayoffSelf"",""info"",""607""  ""mouseout"",""PayoffSelf"","""",""1007""  ""mouseover"",""PayoffSelf"",""info"",""1676""  ""mouseout"",""PayoffSelf"","""",""1692""  ""mouseover"",""ExpSelf"",""info"",""1692""  ""mouseout"",""ExpSelf"","""",""1758""  ""mouseover"",""CropSelf"",""info"",""1791""  ""mouseout"",""CropSelf"","""",""2158""  ""mouseover"",""ExpSelf"",""info"",""2158""  ""mouseout"",""ExpSelf"","""",""2175"""
27bsrtna,qdczif8y,70,1442,3,20,19,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""355""  ""mouseout"",""PayoffSelf"","""",""922"""
27bsrtna,qdczif8y,71,1442,1,1,24,1,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""16"""
